Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,48.299999,49.330002,47.709999,49.330002,49.118713,7400200
2020-01-03,48.500000,49.330002,48.299999,48.889999,48.680595,6684400
2020-01-06,48.400002,49.310001,47.799999,48.930000,48.720425,6839800
2020-01-07,48.939999,49.200001,48.500000,48.790001,48.581024,6704700
2020-01-08,48.619999,50.349998,48.500000,50.290001,50.074600,10001800
2020-01-09,50.500000,52.230000,50.419998,52.080002,51.856934,11030000
2020-01-10,52.090000,53.049999,51.049999,51.799999,51.578129,9371100
2020-01-13,52.200001,54.230000,52.150002,54.230000,53.997723,8576800
2020-01-14,54.000000,55.049999,53.599998,54.000000,53.768707,8295200
2020-01-15,53.680000,54.360001,53.200001,53.660000,53.430164,9241400
2020-01-16,54.200001,54.720001,52.299999,53.459999,53.231018,8378800
2020-01-17,53.799999,54.430000,53.099998,54.349998,54.117207,6046000
2020-01-20,54.119999,56.000000,54.049999,56.000000,55.760139,7405900
2020-01-21,55.720001,56.740002,55.610001,55.910000,55.670528,8064300
2020-01-22,56.509998,57.099998,54.830002,55.689999,55.451469,9015600
2020-01-23,55.680000,56.720001,54.930000,56.580002,56.337658,8184900
2020-01-24,56.770000,57.049999,56.000000,56.150002,55.909500,7518700
2020-01-27,55.049999,55.299999,53.750000,53.799999,53.569565,7523800
2020-01-28,54.009998,56.990002,54.009998,56.990002,56.745903,10356400
2020-01-29,57.509998,58.090000,56.650002,57.290001,57.044617,9949500
2020-01-30,56.369999,56.700001,55.020000,56.500000,56.257999,11075900
2020-01-31,55.639999,57.150002,55.200001,55.799999,55.560997,9695300
2020-02-03,56.480000,56.950001,55.660000,56.529999,56.287868,6141500
2020-02-04,57.599998,58.669998,57.130001,57.660000,57.413033,8218200
2020-02-05,58.500000,58.840000,57.029999,57.299999,57.054573,8621100
2020-02-06,58.000000,58.150002,55.799999,55.830002,55.590870,10291000
2020-02-07,55.700001,55.930000,53.500000,54.230000,53.997723,9770800
2020-02-10,54.000000,55.529999,51.540001,52.380001,52.155647,12831200
2020-02-11,53.200001,54.799999,51.730000,54.270000,54.037552,9488700
2020-02-12,54.529999,56.549999,54.250000,55.939999,55.700397,10526000
2020-02-13,54.919998,57.299999,54.099998,57.049999,56.805645,13744600
2020-02-14,57.599998,57.959999,56.000000,56.330002,56.088730,9170000
2020-02-17,58.000000,59.919998,57.150002,58.849998,58.597931,18443800
2020-02-18,58.250000,59.099998,57.500000,58.220001,57.970634,9558500
2020-02-19,58.349998,58.900002,57.610001,57.860001,57.612175,9128500
2020-02-20,57.930000,58.130001,55.830002,56.540001,56.297829,11139500
2020-02-21,55.650002,57.820000,55.400002,56.450001,56.208214,9585500
2020-02-26,null,null,null,null,null,null
2020-02-27,52.000000,53.400002,50.020000,50.250000,50.034771,14704700
2020-02-28,49.000000,50.520000,47.220001,50.520000,50.303616,19699800
2020-03-02,50.700001,53.439999,49.820000,52.549999,52.324917,16152900
2020-03-03,52.680000,54.799999,51.669998,52.849998,52.623631,14598000
2020-03-04,54.400002,54.459999,51.869999,52.450001,52.225346,11335600
2020-03-05,52.000000,52.000000,46.599998,47.790001,47.585308,21196500
2020-03-06,44.130001,46.410000,43.049999,45.330002,45.135845,28342800
2020-03-09,39.020000,42.360001,38.779999,40.360001,40.187130,24294600
2020-03-10,45.000000,47.009998,42.279999,46.990002,46.788734,20528500
2020-03-11,45.000000,46.770000,39.900002,43.080002,42.895481,20082900
2020-03-12,36.000000,38.830002,30.570000,34.000000,33.854370,17509200
2020-03-13,42.500000,42.759998,34.209999,42.000000,41.820107,30140700
2020-03-16,35.000000,39.910000,34.070000,34.070000,33.924072,23096200
2020-03-17,36.119999,37.680000,32.849998,35.570000,35.417648,27054900
2020-03-18,32.020000,33.619999,26.469999,28.809999,28.686602,30437100
2020-03-19,27.500000,31.370001,25.000000,30.549999,30.419147,28180800
2020-03-20,32.799999,36.070000,30.650000,30.650000,30.518721,28366800
2020-03-23,32.500000,32.930000,29.559999,30.209999,30.080605,21456500
2020-03-24,33.720001,37.790001,33.720001,36.680000,36.522892,20687300
2020-03-25,36.900002,43.349998,36.720001,40.000000,39.828674,31293400
2020-03-26,40.639999,44.400002,40.259998,41.119999,40.943874,22885300
2020-03-27,38.689999,40.740002,37.650002,39.000000,38.832954,17073500
2020-03-30,41.000000,42.020000,39.799999,41.599998,41.421818,18942200
2020-03-31,42.480000,43.200001,38.810001,38.990002,38.823002,24290400
2020-04-01,37.400002,39.130001,36.070000,37.480000,37.319466,18415300
2020-04-02,38.220001,38.700001,35.110001,35.889999,35.736275,20572500
2020-04-03,35.340000,35.650002,33.330002,35.540001,35.387775,16452600
2020-04-06,38.400002,39.380001,37.220001,38.200001,38.036385,16251500
2020-04-07,41.439999,42.599998,40.090000,40.090000,39.918285,19648800
2020-04-08,40.270000,42.200001,39.439999,41.959999,41.780277,15821300
2020-04-09,42.820000,43.700001,41.259998,41.650002,41.471607,12969900
2020-04-13,41.090000,42.099998,40.669998,41.910000,41.730492,8456100
2020-04-14,42.900002,43.400002,42.340000,42.900002,42.900002,11311100
2020-04-15,42.099998,44.320000,41.500000,43.849998,43.849998,13530600
2020-04-16,44.650002,46.000000,44.200001,45.570000,45.570000,14580900
2020-04-17,46.680000,46.889999,43.900002,44.590000,44.590000,12116900
2020-04-20,43.720001,48.549999,43.250000,48.480000,48.480000,19963900
2020-04-22,49.500000,52.180000,49.099998,50.549999,50.549999,22373900
2020-04-23,51.860001,52.500000,48.580002,49.470001,49.470001,17547400
2020-04-24,48.389999,49.150002,42.680000,47.380001,47.380001,26489800
2020-04-27,49.230000,50.000000,48.000000,49.500000,49.500000,17502500
2020-04-28,51.000000,51.799999,50.150002,51.799999,51.799999,14486800
2020-04-29,52.599998,52.889999,50.150002,50.619999,50.619999,16780100
2020-04-30,49.860001,51.549999,49.110001,49.700001,49.700001,11691900
2020-05-04,48.000000,51.680000,47.310001,51.439999,51.439999,13088100
2020-05-05,52.150002,52.799999,50.150002,50.200001,50.200001,12887500
2020-05-06,52.220001,56.080002,52.020000,55.150002,55.150002,29841400
2020-05-07,56.500000,58.200001,53.389999,56.790001,56.790001,23166800
2020-05-08,57.919998,57.919998,54.750000,55.540001,55.540001,13877500
2020-05-11,55.439999,56.549999,54.560001,54.950001,54.950001,8451100
2020-05-12,55.500000,57.000000,54.060001,54.799999,54.799999,10259800
2020-05-13,55.599998,55.939999,54.430000,55.099998,55.099998,12325400
2020-05-14,54.799999,55.709999,53.799999,55.500000,55.500000,13387100
2020-05-15,55.000000,56.250000,54.299999,55.130001,55.130001,8773600
2020-05-18,56.490002,56.689999,55.099998,55.750000,55.750000,10389400
2020-05-19,55.939999,59.250000,55.700001,58.580002,58.580002,14923800
2020-05-20,59.000000,59.500000,56.880001,56.900002,56.900002,12111200
2020-05-21,57.599998,59.099998,57.080002,58.290001,58.290001,10627200
2020-05-22,57.889999,59.299999,57.150002,57.650002,57.650002,11111800
2020-05-25,59.200001,61.000000,58.880001,60.400002,60.400002,10932700
2020-05-26,63.200001,68.129997,63.150002,64.480003,64.480003,25598600
2020-05-27,66.860001,67.769997,64.750000,67.360001,67.360001,14189900
2020-05-28,67.250000,67.540001,64.500000,65.250000,65.250000,13656600
2020-05-29,65.300003,65.690002,64.000000,64.349998,64.349998,16845800
2020-06-01,64.000000,64.660004,62.750000,63.700001,63.700001,8825800
2020-06-02,64.610001,64.980003,61.410000,61.799999,61.799999,18678800
2020-06-03,62.880001,63.480000,60.180000,62.380001,62.380001,19666300
2020-06-04,61.630001,62.150002,60.009998,60.490002,60.490002,12876800
2020-06-05,62.000000,62.090000,58.520000,59.450001,59.450001,19427400
2020-06-08,60.009998,63.279999,59.299999,62.380001,62.380001,20720300
2020-06-09,61.180000,63.689999,60.900002,62.380001,62.380001,11476100
2020-06-10,63.000000,65.059998,61.139999,64.599998,64.599998,19867500
2020-06-12,62.820000,65.000000,62.509998,63.950001,63.950001,17166100
