fmun_cod;fmun;ano;mes;mes_ano;regiao;hom_doloso;lesao_corp_morte;latrocinio;hom_por_interv_policial;letalidade_violenta;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;roubo_comercio;roubo_residencia;roubo_veiculo;roubo_carga;roubo_transeunte;roubo_em_coletivo;roubo_banco;roubo_cx_eletronico;roubo_celular;roubo_conducao_saque;roubo_apos_saque;roubo_bicicleta;outros_roubos;total_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;furto_bicicleta;outros_furtos;total_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;ameaca;pessoas_desaparecidas;encontro_cadaver;encontro_ossada;pol_militares_mortos_serv;pol_civis_mortos_serv;indicador_cvli;indicador_roubo_rua;indicador_roubo_veic;indicador_roubo_carga;registro_ocorrencias;fase
3300704;Cabo Frio;2014;1;2014m1;Interior;9;0;0;0;9;12;119;9;4;81;8;2;15;1;34;1;0;0;0;0;0;0;118;103;34;57;6;17;0;194;384;0;0;2;27;51;14;34;5;26;80;28;8;0;121;7;3;0;0;0;9;35;15;1;1105;3
3300803;Cachoeiras de Macacu;2014;1;2014m1;Interior;2;0;0;0;2;5;31;2;1;22;1;1;0;1;1;0;0;0;0;0;0;0;3;7;4;0;1;1;0;21;27;0;1;0;7;5;2;2;1;0;3;1;2;0;20;2;1;0;0;0;2;1;0;1;175;3
3300902;Cambuci;2014;1;2014m1;Interior;0;0;0;0;0;0;6;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;3;0;0;0;1;2;1;1;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;42;3
3300936;Carapebus;2014;1;2014m1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
3300951;Comendador Levy Gasparian;2014;1;2014m1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
3301009;Campos dos Goytacazes;2014;1;2014m1;Interior;18;0;0;0;18;33;193;20;6;78;12;2;26;3;89;6;1;2;3;0;2;0;13;160;56;55;19;8;0;165;302;0;0;0;45;95;32;49;22;41;151;52;25;1;200;10;1;0;0;0;18;98;26;3;1397;3
3301108;Cantagalo;2014;1;2014m1;Interior;1;0;0;0;1;0;17;2;0;8;0;0;0;1;0;0;0;0;0;0;0;0;1;2;1;0;0;1;0;11;13;0;0;0;0;1;0;1;0;0;0;0;0;0;8;0;0;0;0;0;1;0;0;1;68;3
3301157;Cardoso Moreira;2014;1;2014m1;Interior;1;0;0;0;1;0;12;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;6;0;0;0;0;5;5;0;0;0;4;0;0;0;13;0;0;0;0;0;1;0;0;0;56;3
3301207;Carmo;2014;1;2014m1;Interior;0;0;0;0;0;0;19;1;0;3;0;0;1;2;0;0;0;0;0;0;0;0;0;3;0;1;0;1;0;9;11;0;0;0;1;1;0;1;0;1;1;0;1;7;17;1;0;0;0;0;0;0;1;2;101;3
3301306;Casimiro de Abreu;2014;1;2014m1;Interior;0;0;0;0;0;0;21;0;4;25;0;1;6;0;2;0;0;0;0;0;0;0;1;10;3;1;1;3;0;23;31;0;0;0;4;1;1;0;0;3;2;2;3;1;31;1;0;0;0;0;0;2;6;0;129;3
3301405;Conceição de Macabu;2014;1;2014m1;Interior;1;0;0;0;1;0;9;1;0;5;0;0;0;1;1;0;0;0;0;0;0;0;0;2;2;0;0;0;0;1;3;0;0;0;0;2;2;0;0;1;0;0;5;0;13;0;0;0;0;0;1;1;0;1;54;3
3301504;Cordeiro;2014;1;2014m1;Interior;1;0;0;0;1;0;13;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;2;0;17;21;0;0;0;1;2;0;1;1;0;6;0;2;0;9;1;0;0;0;0;1;0;0;0;68;3
3301603;Duas Barras;2014;1;2014m1;Interior;0;0;0;0;0;0;15;1;0;3;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;2;0;0;0;1;1;1;0;0;0;1;0;0;0;13;0;0;0;0;0;0;1;0;0;44;3
3301702;Duque de Caxias;2014;1;2014m1;Baixada Fluminense;37;0;0;3;40;31;511;25;8;186;49;3;340;57;683;37;0;0;18;1;4;0;117;1309;74;118;43;37;0;370;642;0;10;2;209;65;5;57;3;202;187;88;56;0;447;43;3;0;0;0;37;738;340;57;4247;3
3301801;Engenheiro Paulo de Frontin;2014;1;2014m1;Interior;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;3;6;0;0;0;0;3;1;2;0;0;2;2;1;0;12;0;0;0;0;0;0;0;0;0;37;3
3301850;Guapimirim;2014;1;2014m1;Baixada Fluminense;1;0;0;0;1;3;49;2;1;6;0;0;10;0;1;0;0;0;0;0;0;0;1;12;1;0;1;0;0;9;11;0;0;0;6;2;1;1;0;0;11;2;2;0;35;4;0;0;0;0;1;1;10;0;137;3
3301876;Iguaba Grande;2014;1;2014m1;Interior;0;0;0;0;0;1;23;1;0;21;1;1;3;1;3;0;0;0;0;0;0;0;1;10;4;2;1;1;0;25;33;0;0;0;1;1;1;0;0;2;1;0;1;0;19;0;0;0;0;0;0;3;3;1;126;3
3301900;Itaboraí;2014;1;2014m1;Interior;5;0;0;0;5;10;118;9;2;58;10;2;51;2;67;10;0;0;7;0;0;0;13;162;31;9;6;12;0;106;164;0;3;1;28;30;3;25;2;49;58;26;14;0;169;11;0;0;0;0;5;84;51;2;908;3
3302007;Itaguaí;2014;1;2014m1;Baixada Fluminense;9;0;0;0;9;3;70;5;2;27;3;3;29;0;26;3;0;0;1;0;0;0;10;75;16;11;3;8;0;77;115;0;0;0;19;7;0;7;0;13;23;3;6;0;57;8;0;1;0;0;9;30;29;0;461;3
3302056;Italva;2014;1;2014m1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
3302106;Itaocara;2014;1;2014m1;Interior;0;0;0;0;0;1;22;1;1;9;0;0;1;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;12;13;0;2;0;1;0;0;0;0;0;2;0;0;0;17;0;0;0;0;0;0;0;1;1;82;3
3302205;Itaperuna;2014;1;2014m1;Interior;1;0;0;0;1;1;53;2;0;26;7;0;2;0;3;0;0;0;0;0;0;0;2;14;5;2;1;1;0;39;48;0;2;0;12;66;53;11;4;0;29;5;6;0;33;1;0;0;0;0;1;3;2;0;328;3
3302254;Itatiaia;2014;1;2014m1;Interior;0;0;0;0;0;2;23;3;0;5;1;0;0;0;1;0;0;0;0;0;0;0;0;2;1;2;1;3;0;24;31;0;0;0;2;125;114;13;0;4;24;2;12;0;17;0;0;0;0;0;0;1;0;0;280;3
3302270;Japeri;2014;1;2014m1;Baixada Fluminense;5;0;0;0;5;5;72;4;0;8;0;0;1;0;7;2;0;0;0;0;0;0;4;14;2;3;1;2;0;22;30;0;0;0;2;21;4;16;2;3;16;9;10;0;50;3;1;0;0;0;5;9;1;0;298;3
3302304;Laje do Muriaé;2014;1;2014m1;Interior;0;0;0;0;0;0;8;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;1;0;1;0;0;1;0;1;0;6;0;0;0;0;0;0;0;0;0;28;3
3302403;Macaé;2014;1;2014m1;Interior;10;0;0;3;13;19;86;26;4;60;19;0;42;4;66;3;0;0;7;0;0;0;11;151;36;20;7;13;0;169;246;0;4;0;32;25;10;16;1;23;38;14;12;0;92;9;1;0;0;0;10;76;42;4;886;3
3302452;Macuco;2014;1;2014m1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
3302502;Magé;2014;1;2014m1;Baixada Fluminense;15;0;0;0;15;18;187;5;1;41;8;0;18;0;39;5;0;0;2;1;2;0;14;89;34;17;3;8;0;83;145;0;2;0;22;14;3;7;4;32;50;11;23;1;155;13;2;0;0;0;15;46;18;0;868;3
3302601;Mangaratiba;2014;1;2014m1;Interior;2;0;0;0;2;3;29;1;0;21;1;0;4;0;3;1;0;0;0;0;0;0;1;9;7;4;0;7;0;30;49;0;0;0;2;4;3;1;0;5;10;3;2;0;38;0;1;1;0;0;2;4;4;0;181;3
3302700;Maricá;2014;1;2014m1;Grande Niterói;6;0;0;0;6;4;77;2;9;65;5;2;14;0;16;0;0;0;1;0;1;0;2;41;19;7;4;8;0;102;140;0;2;0;20;14;2;12;0;16;25;9;13;0;103;7;0;0;0;0;6;17;14;0;573;3
3302809;Mendes;2014;1;2014m1;Interior;0;0;0;0;0;0;8;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9;10;0;0;0;5;2;2;0;0;0;0;0;1;0;7;0;2;0;0;0;0;0;0;0;53;3
3302858;Mesquita;2014;1;2014m1;Baixada Fluminense;4;0;0;0;4;7;111;11;2;17;16;4;53;3;100;2;0;0;0;0;0;0;2;180;32;19;11;6;0;75;143;0;2;0;14;10;0;9;1;26;20;6;9;0;108;15;1;0;0;0;4;102;53;3;717;3
3302908;Miguel Pereira;2014;1;2014m1;Interior;2;0;0;0;2;1;21;1;2;11;0;1;0;0;0;1;0;0;0;0;0;0;0;2;3;0;0;0;0;18;21;0;0;0;2;4;1;3;0;0;11;2;3;0;22;0;0;0;0;0;2;1;0;0;114;3
3303005;Miracema;2014;1;2014m1;Interior;0;0;0;2;2;0;10;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;0;0;2;27;22;3;2;1;9;0;0;0;22;1;0;0;0;0;0;0;0;0;95;3
3303104;Natividade;2014;1;2014m1;Interior;0;0;0;0;0;0;7;2;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;8;0;0;0;0;0;0;0;0;0;1;0;0;0;12;0;0;0;0;0;0;0;0;0;47;3
3303203;Nilópolis;2014;1;2014m1;Baixada Fluminense;9;0;1;0;10;7;105;3;0;13;14;3;71;5;116;1;0;0;17;0;3;0;14;244;13;31;8;11;0;90;153;0;0;0;24;9;2;5;3;34;13;5;10;0;139;1;0;0;0;0;10;134;71;5;893;3
3303302;Niterói;2014;1;2014m1;Grande Niterói;7;0;0;3;10;15;228;13;7;174;32;8;140;1;300;40;0;0;10;0;0;0;42;572;104;152;35;51;0;412;755;0;16;2;169;50;13;29;8;104;109;38;60;0;233;16;4;1;0;0;7;350;140;1;2827;3
3303401;Nova Friburgo;2014;1;2014m1;Interior;3;0;0;0;3;3;104;8;6;65;6;1;0;0;16;0;0;0;4;0;0;0;9;35;19;4;2;5;0;100;131;0;1;0;16;29;7;20;2;15;42;12;11;0;116;2;0;0;0;0;3;20;0;0;685;3
3303500;Nova Iguaçu;2014;1;2014m1;Baixada Fluminense;51;0;2;1;54;24;467;41;6;143;42;8;259;24;446;36;0;1;32;0;8;0;30;884;46;88;20;38;0;274;468;0;5;1;106;41;4;35;2;81;100;41;39;0;469;36;3;0;0;0;53;514;259;24;3237;3
3303609;Paracambi;2014;1;2014m1;Baixada Fluminense;0;0;0;0;0;0;25;2;0;4;0;0;1;0;0;0;0;0;0;0;0;0;3;4;0;1;0;2;0;10;13;0;0;0;5;14;0;13;1;3;17;4;2;0;34;0;0;0;0;0;0;0;1;0;121;3
3303708;Paraíba do Sul;2014;1;2014m1;Interior;1;0;0;0;1;0;25;2;0;13;0;0;2;1;0;0;0;0;0;0;0;0;1;4;6;0;0;2;0;13;21;0;0;0;0;7;6;1;0;2;4;0;3;0;15;0;1;0;0;0;1;0;2;1;115;3
3303807;Paraty;2014;1;2014m1;Interior;1;0;0;0;1;4;26;5;2;17;2;0;1;0;3;0;0;0;0;0;0;0;7;7;4;4;0;3;0;50;67;0;0;0;10;19;14;5;0;1;12;3;5;0;31;0;0;0;0;0;1;3;1;0;265;3
3303856;Paty do Alferes;2014;1;2014m1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
3303906;Petrópolis;2014;1;2014m1;Interior;0;0;0;0;0;3;130;6;2;28;1;1;0;1;2;1;0;0;0;0;0;0;3;9;23;27;9;16;0;97;172;0;2;0;28;35;8;30;0;15;56;7;22;0;99;10;1;0;0;0;0;3;0;1;680;3
3303955;Pinheiral;2014;1;2014m1;Interior;0;0;0;0;0;0;24;2;0;7;2;0;1;0;1;0;0;0;0;0;0;0;0;4;0;0;0;1;0;9;10;0;0;0;0;3;2;1;0;0;4;0;3;1;30;0;0;0;0;0;0;1;1;0;95;3
3304003;Piraí;2014;1;2014m1;Interior;0;0;0;0;0;0;8;1;0;7;0;0;0;2;0;0;0;0;0;0;0;0;1;3;3;0;1;0;0;24;28;0;0;0;1;6;3;2;1;1;5;1;0;0;22;1;0;0;0;0;0;0;0;2;92;3
3304102;Porciúncula;2014;1;2014m1;Interior;0;0;0;0;0;0;14;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;13;15;0;0;0;0;4;4;1;1;0;2;2;0;0;13;0;0;0;0;0;0;0;0;0;68;3
3304110;Porto Real;2014;1;2014m1;Interior;0;0;0;0;0;1;20;1;1;7;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;5;0;13;19;0;1;0;1;11;6;4;1;0;4;0;5;0;12;1;0;0;0;0;0;0;0;0;86;3
3304128;Quatis;2014;1;2014m1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
3304144;Queimados;2014;1;2014m1;Baixada Fluminense;8;0;0;1;9;5;142;9;0;21;6;1;15;2;42;7;0;0;0;0;1;0;4;78;12;10;4;3;0;66;95;0;3;0;12;10;2;8;0;22;29;6;13;0;124;7;1;0;0;0;8;49;15;2;600;3
3304151;Quissamã;2014;1;2014m1;Interior;2;0;1;0;3;1;12;2;0;21;3;0;3;0;0;0;0;0;0;0;0;0;1;7;4;0;0;0;0;9;13;0;1;0;1;1;1;0;0;6;2;0;0;0;6;0;0;0;0;0;3;0;3;0;79;3
3304201;Resende;2014;1;2014m1;Interior;4;0;0;0;4;2;94;5;1;25;2;0;1;1;3;0;0;0;0;0;0;0;2;10;9;8;5;15;0;87;123;0;1;0;14;35;16;16;3;8;45;6;8;0;105;9;1;0;0;0;4;3;1;1;515;3
3304300;Rio Bonito;2014;1;2014m1;Interior;1;0;0;0;1;0;20;0;9;20;4;2;7;0;4;2;0;0;0;0;0;0;0;19;5;0;1;3;0;17;26;0;0;0;8;5;1;4;0;5;9;3;2;0;28;1;0;0;0;0;1;6;7;0;163;3
3304409;Rio Claro;2014;1;2014m1;Interior;0;0;0;0;0;1;15;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;2;7;0;0;0;0;0;0;0;0;2;0;0;2;0;6;0;0;0;0;0;0;0;0;0;48;3
3304508;Rio das Flores;2014;1;2014m1;Interior;0;0;0;0;0;0;5;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;3;0;0;0;1;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;22;3
3304524;Rio das Ostras;2014;1;2014m1;Interior;4;0;0;0;4;11;76;0;1;42;5;0;8;0;31;2;0;0;4;0;1;0;7;58;39;32;4;8;0;148;231;0;2;0;15;14;6;7;1;16;23;6;6;0;98;2;1;0;0;0;4;37;8;0;639;3
3304557;Rio de Janeiro;2014;1;2014m1;Capital;113;3;5;32;153;192;3562;194;62;1909;354;54;1336;286;3273;423;5;0;308;6;80;0;1027;6859;629;2357;672;1059;0;4743;9753;0;94;21;1672;1019;602;310;110;1011;1132;510;824;32;3469;254;21;0;0;0;121;4004;1336;286;36489;3
3304607;Santa Maria Madalena;2014;1;2014m1;Interior;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;1;1;1;0;0;0;1;0;0;0;6;0;0;0;0;0;0;0;0;0;30;3
3304706;Santo Antônio de Pádua;2014;1;2014m1;Interior;3;0;1;0;4;0;27;1;0;6;1;0;2;1;0;0;0;0;0;0;0;0;2;6;5;1;0;2;0;30;38;0;0;0;1;27;16;11;1;3;20;2;3;0;28;0;1;0;0;0;4;0;2;1;186;3
3304755;São Francisco de Itabapoana;2014;1;2014m1;Interior;1;0;0;0;1;4;26;2;0;1;1;0;2;0;2;0;0;0;1;0;0;0;0;6;5;1;1;2;0;27;36;0;0;0;1;2;1;0;1;3;8;0;12;0;8;1;0;0;0;0;1;3;2;0;119;3
3304805;São Fidélis;2014;1;2014m1;Interior;0;0;0;0;0;0;19;1;0;5;1;0;0;1;1;0;0;0;0;0;0;0;1;4;1;0;0;0;0;20;21;0;1;0;1;7;3;3;1;1;10;2;2;0;18;0;0;0;0;0;0;1;0;1;98;3
3304904;São Gonçalo;2014;1;2014m1;Grande Niterói;29;0;1;3;33;50;481;32;12;199;62;5;408;41;731;51;0;0;41;1;7;0;76;1423;114;109;35;47;0;344;649;0;7;2;127;70;8;60;2;278;160;81;36;0;624;41;2;0;0;0;30;823;408;41;4473;3
3305000;São João da Barra;2014;1;2014m1;Interior;4;0;2;0;6;6;25;5;3;12;2;1;0;0;12;1;0;0;1;0;0;0;3;20;7;2;0;3;0;43;55;0;0;0;5;9;4;4;2;4;14;2;5;0;18;0;0;0;0;0;6;14;0;0;195;3
3305109;São João de Meriti;2014;1;2014m1;Baixada Fluminense;23;0;0;0;23;15;239;7;2;88;41;7;204;17;269;9;0;1;9;0;8;0;48;613;41;22;13;13;0;162;251;0;4;0;92;16;5;9;2;102;64;27;39;0;238;17;1;0;0;0;23;287;204;17;1983;3
3305133;São José de Ubá;2014;1;2014m1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
3305158;São José do Vale do Rio Preto;2014;1;2014m1;Interior;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;0;0;0;0;3;3;0;0;0;2;0;0;0;9;0;0;0;0;0;0;0;0;0;37;3
3305208;São Pedro da Aldeia;2014;1;2014m1;Interior;4;0;1;0;5;0;45;4;5;28;2;1;4;0;3;1;0;0;0;0;0;0;9;20;13;2;1;3;0;48;67;0;1;0;9;11;3;7;1;12;7;2;10;0;35;3;0;0;0;0;5;4;4;0;273;3
3305307;São Sebastião do Alto;2014;1;2014m1;Interior;1;0;0;0;1;0;5;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;1;0;0;0;26;3
3305406;Sapucaia;2014;1;2014m1;Interior;0;0;0;0;0;0;11;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;3;0;0;0;0;6;9;0;1;0;1;2;2;0;0;0;3;0;1;0;6;2;0;0;0;0;0;1;0;0;43;3
3305505;Saquarema;2014;1;2014m1;Interior;1;0;0;0;1;2;47;6;6;54;2;2;4;0;6;6;0;0;0;0;0;0;1;21;12;4;0;9;0;79;104;0;0;0;7;6;2;3;1;14;8;1;1;0;46;5;0;0;0;0;1;12;4;0;381;3
3305554;Seropédica;2014;1;2014m1;Baixada Fluminense;3;0;0;0;3;6;48;3;0;8;1;1;8;4;7;1;0;0;0;0;0;0;6;28;5;2;2;4;0;33;46;0;1;0;8;4;0;3;1;5;14;2;5;0;46;6;3;0;0;0;3;8;8;4;256;3
3305604;Silva Jardim;2014;1;2014m1;Interior;1;0;0;0;1;0;6;1;3;17;1;0;0;1;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;10;12;0;0;0;1;5;1;3;1;2;9;1;13;0;8;0;0;0;0;0;1;0;0;1;67;3
3305703;Sumidouro;2014;1;2014m1;Interior;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;4;0;0;0;1;2;1;1;0;1;0;0;1;0;6;0;0;0;0;0;0;0;0;0;28;3
3305752;Tanguá;2014;1;2014m1;Interior;1;0;0;0;1;0;27;1;0;10;0;0;10;0;2;0;0;0;0;0;0;0;1;13;4;0;0;2;0;5;11;0;1;0;2;9;3;5;1;3;11;1;9;0;27;2;0;0;0;0;1;2;10;0;117;3
3305802;Teresópolis;2014;1;2014m1;Interior;1;0;0;1;2;1;95;2;2;33;1;0;2;0;2;0;0;0;0;0;0;0;0;5;14;15;1;1;0;70;101;0;1;0;47;32;13;20;2;6;50;8;12;0;84;7;0;0;0;0;1;2;2;0;459;3
3305901;Trajano de Moraes;2014;1;2014m1;Interior;0;0;0;0;0;0;7;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;3;0;0;0;2;1;0;1;0;0;2;0;1;0;7;0;0;0;0;0;0;0;0;0;36;3
3306008;Três Rios;2014;1;2014m1;Interior;0;0;1;0;1;1;83;5;2;13;2;0;0;0;1;0;0;0;0;0;0;0;3;6;2;1;0;6;0;65;74;0;2;0;8;47;38;9;0;1;36;2;14;0;85;7;0;0;0;0;1;1;0;0;450;3
3306107;Valença;2014;1;2014m1;Interior;1;0;0;0;1;3;34;0;3;6;0;0;0;0;1;1;0;0;1;0;0;0;0;3;0;1;0;3;0;19;23;0;0;0;6;7;5;2;0;1;7;2;1;0;29;1;1;0;0;0;1;3;0;0;151;3
3306156;Varre-Sai;2014;1;2014m1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
3306206;Vassouras;2014;1;2014m1;Interior;0;0;0;0;0;0;25;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;0;0;0;14;18;0;0;0;2;2;2;0;0;2;3;0;3;0;19;3;0;0;0;0;0;0;0;0;86;3
3306305;Volta Redonda;2014;1;2014m1;Interior;7;0;0;0;7;17;98;6;1;31;10;3;2;0;12;0;0;0;2;0;0;0;8;36;20;19;3;17;0;123;183;0;1;0;53;36;5;24;7;9;80;8;13;0;119;8;1;0;0;0;7;14;2;0;740;3
3300100;Angra dos Reis;2014;2;2014m2;Interior;7;0;0;0;7;9;83;8;1;49;6;2;7;0;18;0;0;0;0;0;0;0;1;34;17;3;4;7;0;81;112;0;1;0;14;35;15;16;4;11;43;5;20;0;80;2;2;0;0;0;7;18;7;0;527;3
